accord,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
Gmin,0.39930606,0.12374667,0.016696902,0.7725704,0.055008836,0.05624251,0.29183325,0.026456667,0.8598892,0.022246715,0.03785948,0.27751467
Bmaj,0.043733135,0.14893481,0.07483477,0.61377686,0.11264838,0.051638447,0.5416515,0.1066363,0.22147541,0.03372952,0.5008883,0.47795302
C#min,0.01762984,0.90940773,0.011073796,0.027517328,0.3695518,0.30882594,0.07209,0.012747894,0.82613915,0.06764188,0.02615627,0.22162811
Cmin,0.01762984,0.90940773,0.011073796,0.027517328,0.3695518,0.30882594,0.07209,0.012747894,0.82613915,0.06764188,0.02615627,0.22162811
Bmaj,0.011507573,0.017709335,0.36676103,0.19340825,0.18322103,0.0075845,0.52527136,0.41330126,0.028736454,0.06533134,0.009259434,0.92738533
Bmaj,0.011862542,0.036459763,0.009491146,0.88346267,0.120393805,0.004621381,0.7354567,0.005001505,0.7234361,0.028906448,0.011715325,0.9466231
Emaj,0.0022432571,0.026492262,0.050245564,0.015523344,0.9755073,0.0011472985,0.013964955,0.006772628,0.9396699,0.01525842,0.0012153309,0.9498738
F#maj,0.004423735,0.946734,0.0076483274,0.046059385,0.32148805,0.018559003,0.917275,0.008860576,0.04530955,0.033430047,0.8510623,0.043198153
Fmaj,0.004423735,0.946734,0.0076483274,0.046059385,0.32148805,0.018559003,0.917275,0.008860576,0.04530955,0.033430047,0.8510623,0.043198153
C#min,0.0016739488,0.9610803,0.003093998,0.0055511026,0.9525859,0.013312815,0.023037683,0.0022128269,0.95007145,0.03389641,0.0039887046,0.47021192
Cmin,0.0016739488,0.9610803,0.003093998,0.0055511026,0.9525859,0.013312815,0.023037683,0.0022128269,0.95007145,0.03389641,0.0039887046,0.47021192
Dmaj,0.03230832,0.0028490108,0.9940409,0.00015412697,0.0066285376,0.0056769014,0.9689798,0.0056547453,0.00035926883,0.98791647,0.00026566026,0.00669755
Amaj,0.012637953,0.8864625,0.049392488,0.00094487215,0.9442623,0.0026988843,0.026756939,0.058323912,0.0045624333,0.98501015,0.000580223,0.016171187
Emin,0.0078007453,0.0155647565,0.29226997,0.0025289294,0.9781311,0.0011919183,0.010299703,0.7301628,0.31025428,0.047140766,0.0011923779,0.94119674
F#min,0.0007426338,0.98642504,0.004122158,0.0052345567,0.18462786,0.0026653248,0.9876577,0.0009559655,0.005031232,0.2701631,0.76839036,0.012904034
